label,start,end,yrs,s_CAGR,s_Sh,s_DD,s_Cal,b_CAGR,b_Sh,b_DD,b_Cal
全样本,2005-02-01,2026-05-22,21.297741273100616,0.12294204463015723,0.5348061793636913,-0.2815083501531998,0.43672610266534145,0.14939499185571137,0.5441329514051513,-0.5370615190845823,0.27817109687984
Train 05-19,2005-02-01,2019-12-31,14.910335386721425,0.10651210954587742,0.44893082092502157,-0.2815083501531998,0.37836216754463026,0.12475845547314535,0.4650082628609553,-0.5370615190845823,0.2322982582810909
Test  20-26,2020-01-01,2026-05-22,6.38466803559206,0.16232562791634408,0.7263731613695401,-0.19587692515299665,0.8287123549114009,0.20912390388380842,0.7020304036095106,-0.3556313935513305,0.5880355550040164
Train 05-17,2005-02-01,2017-12-31,12.906228610540726,0.09923660137500345,0.41270561723809374,-0.2815083501531998,0.35251743445975176,0.11817550588624459,0.4353619810278095,-0.5370615190845823,0.22004091093265057
Test  18-26,2018-01-01,2026-05-22,8.383299110198495,0.1605720074077126,0.7090003801532778,-0.19587692515299654,0.819759689827131,0.1993339477380498,0.6916367603473575,-0.3556313935513302,0.560507174992353
Train 05-13,2005-02-01,2013-12-31,8.91170431211499,0.09437292879114145,0.3872521269673612,-0.2815083501531998,0.3352402468338247,0.10187765170722862,0.3513848677154028,-0.5370615190845823,0.1896945658681307
Test  14-26,2014-01-01,2026-05-22,12.383299110198495,0.14399165685661153,0.6339462172000739,-0.21409863855344763,0.6725482134285754,0.18489048547841347,0.6917683976474447,-0.35563139355132983,0.5198936000337311
Train 05-10,2005-02-01,2010-12-31,5.9110198494182065,0.06718553022441576,0.22717972697228048,-0.2815083501531998,0.23866265490118743,0.06683273277513391,0.21393039449481308,-0.5370615190845823,0.12444148463485122
Test  11-26,2011-01-01,2026-05-22,15.378507871321013,0.14521092966205207,0.6448027771984334,-0.21409863855344904,0.6782431249594361,0.18289108376675056,0.6991443673902098,-0.35563139355132983,0.5142714818857889
Train 05-08,2005-02-01,2008-12-31,3.912388774811773,0.02321742916148062,-0.03374554630516711,-0.2815083501531998,0.0824750994023639,-0.055199446674269015,-0.24716685165356997,-0.5370615190845823,-0.10278049108481295
Test  09-26,2009-01-01,2026-05-22,17.38261464750171,0.14671611061424428,0.6628771138384029,-0.2140986385534475,0.6852734403428639,0.20126619304553306,0.7642262978063415,-0.35563139355132894,0.5659404560314328
