year,strat,bh,pos
2005,-0.03585949408893452,0.027184296292596555,0.8493575746972867
2006,0.06072135855770955,0.0678944809141735,0.7709137595065062
2007,0.1308695636605013,0.18670954522169847,0.9437223066887551
2008,-0.13894201856275745,-0.41885339076132,0.3572780742850015
2009,0.2652039180418373,0.5353526183303761,0.560135595456701
2010,0.12768303073336984,0.19219914960409867,0.9529995196483992
2011,-0.011690127692611463,0.027039578692973354,0.8766966926552197
2012,0.09742590120987615,0.1681863879218375,0.8954986739933944
2013,0.39662685922245267,0.34990398093899455,1.139689388757621
2014,0.12668362816984335,0.17936525612471987,1.0587529387131205
2015,-0.04092724564356354,0.0842696894445123,0.6546981454941015
2016,0.04612338425551954,0.05885785072508298,0.5834349388195476
2017,0.30867388791674055,0.31515620052553395,1.0177135156157653
2018,0.0371022323853083,-0.01039018701085681,0.6012494981576557
2019,0.15522809666653758,0.3796406296406287,0.7535502122848123
2020,0.3445490644873437,0.4758017512741799,0.8065569896588023
2021,0.2056135668106711,0.2662729239277879,0.881344879659847
2022,-0.13668411501115674,-0.3296748545350271,0.2617849406765183
2023,0.3743676020053157,0.5380529371759524,0.8918219025297296
2024,0.2817827546513467,0.2487969461420556,1.2739788972135069
2025,0.1901063101366094,0.20167740885401164,1.1788538484670747
2026,0.09516070906504881,0.16267106537266507,0.9500127210027475
